filename,average_plddt,ranking_score,iptm,ptm,dope,soap,dockq,cpscore,interface_plddt,sc,ec,frustrate,rmsd,bsa,refine_dope
6A6I_seed-1864551_sample-1model,83.86115758,0.86,0.8,0.76,-2.256476921,-1657.652466,0.775798401,0.062193461,88.25520014,0.577,0.136467679,75.7,0.498867959,689.041,-4.1130247264329265
6U08_seed-3878122_sample-1model,95.30159694,0.93,0.92,0.93,-2.719297717,-3198.714111,0.971309006,-0.402594758,97.14465105,0.727,0.140813463,85.059,0.3414042,1146.5,-4.895124880206449
7D2T_seed-6297859_sample-0model,92.1725354,0.9,0.91,0.85,-2.539726767,-2995.905518,0.941878281,0.275017296,91.8643591,0.683,0.116636332,48.407,0.330370545,1244.08,-4.09684855080013
7D2T_seed-5008155_sample-2model,91.81408298,0.89,0.9,0.84,-2.500436104,-2924.255615,0.869539944,-0.042670666,93.20416857,0.689,0.126061887,44.384,0.348965168,1232.99,-4.018799388926703
6U08_seed-727438_sample-4model,94.99814286,0.92,0.92,0.93,-2.74129574,-3219.651367,0.967533179,-0.082776997,96.67623273,0.726,0.1391992,75.264,0.305016786,1156.16,-4.936214687002501
7D2T_seed-4030619_sample-2model,91.76631544,0.89,0.9,0.84,-2.619195304,-3024.556641,0.95946572,0.506460604,92.1181358,0.692,0.12141394,44.325,0.311057389,1245.46,-4.267570750605725
6U08_seed-1042502_sample-4model,94.92482143,0.92,0.92,0.93,-2.707622207,-3113.022949,0.968223162,0.079466532,96.67208152,0.701,0.141899807,78.881,0.301295668,1143.52,-4.862067090041631
6U08_seed-5899171_sample-2model,95.18133163,0.93,0.92,0.93,-2.734594361,-3155.669678,0.964978809,0.573589888,96.55577019,0.721,0.141906975,79.608,0.294224799,1157.12,-4.916410500781771
6U08_seed-2333229_sample-2model,95.29745408,0.93,0.92,0.93,-2.744500866,-3247.416992,0.967791485,0.15556958,97.19155088,0.728,0.136294853,86.97,0.349276841,1160.28,-4.945943268586247
7D2T_seed-44925_sample-2model,92.09713204,0.89,0.9,0.85,-2.548466387,-3072.57959,0.909777312,0.544581606,92.3270762,0.697,0.123581571,39.77,0.344468832,1247.28,-4.117131346522714
6U08_seed-9690929_sample-1model,94.91409694,0.92,0.92,0.93,-2.745966256,-3196.529541,0.961679371,0.39635672,96.78983737,0.727,0.140069932,91.775,0.295660794,1155.39,-4.9462735524062555
6U08_seed-8549438_sample-4model,95.35920918,0.93,0.92,0.93,-2.753276036,-3379.306152,0.974118765,0.126256324,96.58963865,0.745,0.139610152,90.928,0.34129256,1169.92,-4.94892415899454
6IF2_seed-5353575_sample-1model,85.28766194,0.81,0.8,0.86,-3.297838063,-2849.727783,0.790357191,-0.231986475,82.93105091,0.688,0.130028013,49.562,0.288706154,925.996,-6.159293062315369
6U08_seed-2188843_sample-2model,95.03694388,0.92,0.92,0.93,-2.776049876,-3226.926514,0.967999506,0.167596488,96.54195813,0.728,0.139963949,87.277,0.325503111,1147.94,-4.997779684488769
7D2T_seed-4449613_sample-1model,91.74553177,0.89,0.9,0.85,-2.56026938,-3049.428467,0.95563614,-0.076317648,92.0237052,0.694,0.12551681,46.002,0.339023352,1235.1,-4.155346603196145
7D2T_seed-9977429_sample-2model,91.9799111,0.89,0.91,0.85,-2.583067653,-3061.706787,0.959366701,0.144144971,92.00873138,0.692,0.115877814,43.206,0.326016158,1242.43,-4.172600565707924
6U08_seed-1240546_sample-4model,95.10221939,0.92,0.92,0.93,-2.775113665,-3273.164795,0.971871433,-0.365890702,96.70075151,0.746,0.133141078,89.457,0.345528245,1148.62,-4.994774695935889
7D2T_seed-4007339_sample-2model,91.80377675,0.89,0.9,0.84,-2.565077496,-3089.848633,0.91532627,-0.36023223,92.01992814,0.691,0.118846935,45.222,0.330317527,1250.38,-4.137393352486867
7D2T_seed-6297859_sample-3model,91.78197563,0.89,0.9,0.85,-2.598625131,-3083.585449,0.943245623,-0.179983658,92.08345485,0.691,0.11733623,46.654,0.334316909,1249.73,-4.206771627884995
6A6I_seed-7115957_sample-2model,85.64031367,0.9,0.84,0.79,-2.396616638,-1768.817993,0.747022204,0.172523022,88.17562656,0.628,0.129157551,74.933,0.477962017,755.088,-4.396131366029271
6A6I_seed-976083_sample-1model,85.13673637,0.85,0.81,0.77,-2.653757807,-1900.403931,0.642680338,0.11665533,87.37859334,0.611,0.132046881,75.687,0.495690465,787.824,-4.783506100640336
6U08_seed-634254_sample-4model,95.42970918,0.93,0.93,0.94,-2.708678225,-3183.217529,0.970220123,-0.045520736,96.95993015,0.727,0.142128479,85.026,0.3114613,1142.13,-4.873584635191074
7D2T_seed-9646241_sample-2model,91.86331906,0.89,0.91,0.85,-2.548547477,-3050.550049,0.952280879,0.063717091,92.10794664,0.678,0.11982258,43.645,0.30359304,1246.91,-4.099662812671486
6U08_seed-3931180_sample-1model,95.01029082,0.92,0.92,0.93,-2.74994681,-3178.465088,0.972911886,-0.136640777,96.47406542,0.711,0.137827683,80.84,0.29973197,1144.58,-4.946422330662325
5ZNG_seed-5632116_sample-3model,84.99292234,0.91,0.82,0.76,-1.509059714,-2317.966797,0.740762282,-0.50456142,78.48340541,0.692,0.127518389,87.576,0.345664084,846.22,-2.7126638409481867
6U08_seed-732152_sample-3model,94.93821429,0.92,0.92,0.93,-2.744905946,-3191.162354,0.962197262,0.062835131,96.12815704,0.72,0.140757852,78.767,0.314791977,1305.59,-4.942285740019063
6A6I_seed-592774_sample-0model,85.38594473,0.9,0.85,0.79,-2.38846937,-2066.136963,0.555653672,0.05866808,87.36540278,0.645,0.135925532,91.412,0.424796045,851.781,-4.253067835179306
6A6I_seed-958038_sample-2model,85.09514563,0.8,0.8,0.79,-2.771617117,-1687.860474,0.751836836,0.440845698,88.12400024,0.59,0.142025368,67.768,0.514964759,711.779,-5.097195971151626
6IF2_seed-1769132_sample-2model,86.08568151,0.83,0.82,0.87,-3.278504345,-3069.276611,0.572742851,0.230403326,85.45767758,0.674,0.15224616,78.975,0.304736853,970.081,-6.05305598048149
7D2T_seed-630484_sample-0model,91.89706948,0.89,0.9,0.85,-2.555273115,-2999.948242,0.950217292,-0.198475614,92.5517389,0.683,0.12542328,42.616,0.335072011,1235.41,-4.153778331409126
7D2T_seed-9134516_sample-3model,91.8506783,0.89,0.9,0.84,-2.562780497,-3133.83252,0.939825833,0.094830022,91.57573087,0.699,0.124783243,42.12,0.331537664,1257.28,-4.138835065608262
5ZNG_seed-7278045_sample-2model,85.17418735,0.92,0.83,0.77,-1.51245892,-2086.174805,0.723261065,-0.172749675,81.779468,0.675,0.134737813,91.168,0.303082943,794.732,-2.65878229802822
7D2T_seed-9342694_sample-2model,91.71111623,0.89,0.9,0.85,-2.580665715,-2915.019287,0.924480173,0.396294508,91.94014478,0.687,0.123745275,45.792,0.322891444,1242.84,-4.186459629427805
7D2T_seed-5171218_sample-4model,92.02826803,0.89,0.9,0.85,-2.543393803,-3047.323242,0.942006285,-0.386486477,91.73834525,0.692,0.119823781,43.91,0.305926383,1256.04,-4.091539780822547
7D2T_seed-8990825_sample-3model,91.75403029,0.89,0.9,0.84,-2.55806937,-2921.190186,0.971372952,-0.523244416,92.22422589,0.671,0.121734776,45.443,0.321005613,1237.46,-4.135615666353004
6U08_seed-9814955_sample-0model,95.18413776,0.92,0.92,0.93,-2.761431878,-3268.668457,0.969416135,-0.103084091,96.8553354,0.732,0.136771766,81.615,0.329701334,1151.2,-4.972437954111152
7D2T_seed-727438_sample-1model,91.75344419,0.89,0.9,0.84,-2.551845107,-3085.515137,0.963810111,-0.62436443,92.07592203,0.693,0.120726508,45.836,0.310699761,1246.73,-4.104458067526421
7D2T_seed-1661761_sample-4model,91.92000988,0.89,0.9,0.85,-2.554043527,-3082.459229,0.917465922,0.763781532,92.18007149,0.694,0.116305311,47.998,0.320471764,1266.14,-4.091232181381169
6U08_seed-1042502_sample-0model,94.89338776,0.92,0.92,0.93,-2.727218239,-3228.402588,0.969454605,-0.045130468,96.48386544,0.723,0.134292463,81.646,0.269660413,1154.71,-4.9249287216026385
6U08_seed-4629991_sample-1model,95.08526531,0.92,0.92,0.93,-2.754424933,-3262.960693,0.973316545,-0.2917015,96.61095919,0.741,0.134986291,86.809,0.343216866,1159.76,-4.954740306649952
6U08_seed-9497952_sample-1model,95.00677551,0.92,0.92,0.93,-2.756523699,-3161.89917,0.969654826,0.151473443,96.86288302,0.724,0.144178092,77.857,0.285928369,1146.79,-4.97131162845182
6A6I_seed-2367127_sample-2model,83.32492158,0.85,0.8,0.76,-2.199026684,-1777.807251,0.660395233,-0.443887595,86.64405888,0.575,0.13800454,72.143,0.609363914,746.163,-3.94117490278673
7D2T_seed-5681811_sample-3model,91.60433652,0.89,0.9,0.84,-2.567137588,-3080.616211,0.963650689,0.457842232,91.96437518,0.683,0.125883747,47.604,0.345900148,1241.29,-4.149721153425496
7D2T_seed-3222937_sample-2model,92.13315772,0.89,0.9,0.85,-2.53608093,-2828.576904,0.920430263,-0.199370568,91.87868786,0.686,0.125085819,48.859,0.312417775,1233.53,-4.0970127454000345
6U08_seed-3859729_sample-4model,95.10309694,0.93,0.92,0.93,-2.729490276,-3157.216797,0.962505334,-0.242057805,96.50290589,0.718,0.137009133,77.766,0.2863065,1155.23,-4.913012259334161
7D2T_seed-1769132_sample-1model,91.84205137,0.89,0.9,0.84,-2.560039892,-3053.677734,0.955522266,-0.003192338,92.12053233,0.686,0.124971024,44.378,0.31629768,1249.85,-4.126496465320409
6A6I_seed-4553996_sample-4model,84.02961912,0.88,0.82,0.77,-2.379428349,-1628.041992,0.669803822,0.186246245,88.48114334,0.597,0.128385387,66.956,0.748914301,743.498,-4.363615552729946
6U08_seed-5220729_sample-3model,95.32494898,0.93,0.93,0.93,-2.721508876,-3172.397217,0.961310156,0.162607996,96.61168612,0.714,0.134851994,79.854,0.283242166,1146.57,-4.904309925268734
6A6I_seed-44925_sample-4model,85.61907394,0.81,0.82,0.8,-2.815642517,-1718.292236,0.747051139,0.405548698,89.32564113,0.596,0.135392991,74.815,0.509370744,692.691,-5.167511278685978
6U08_seed-5021908_sample-2model,94.98825,0.92,0.92,0.93,-2.718181992,-3257.968262,0.957895238,-0.046165376,96.37473995,0.719,0.142285208,79.884,0.283634216,1145.5,-4.882929338094979
7D2T_seed-8549438_sample-2model,91.79541982,0.89,0.9,0.85,-2.541243083,-3059.201172,0.971057703,-0.53978069,91.26538067,0.7,0.123360855,45.019,0.30834806,1257.35,-4.106498820953738
6A6I_seed-7536905_sample-2model,83.8751531,0.77,0.77,0.75,-2.864259318,-1594.749268,0.852535968,0.121138883,86.34715686,0.606,0.144125762,66.798,0.439291209,677.466,-5.215433248021454
7D2T_seed-3213482_sample-4model,91.93421469,0.89,0.9,0.85,-2.572759247,-3032.304443,0.948034973,0.0185688,92.67077709,0.692,0.121600744,45.644,0.369354784,1247.64,-4.170484641529548
5ZNG_seed-3722711_sample-4model,84.70939151,0.89,0.81,0.76,-1.532656814,-2098.351563,0.737558026,-0.30845972,78.86499986,0.698,0.132967475,89.227,0.325793892,829.953,-2.6775315989917376
7D2T_seed-9758665_sample-0model,91.82617056,0.89,0.9,0.85,-2.543333914,-3034.897705,0.974603846,0.447988102,92.06111089,0.685,0.117326429,42.538,0.352020025,1251.34,-4.134422014687753
7D2T_seed-3226718_sample-1model,91.54398419,0.89,0.9,0.84,-2.528452179,-3145.803955,0.962835088,-0.282972978,92.13113018,0.686,0.119185166,38.507,0.331337214,1236.94,-4.084920912264298
7D2T_seed-9045222_sample-1model,91.57160026,0.89,0.9,0.85,-2.57349276,-3072.705566,0.948852486,0.328228454,91.87733495,0.694,0.120365371,40.759,0.354873896,1267.89,-4.1546477396921535
6U08_seed-6585008_sample-0model,95.16922449,0.93,0.92,0.93,-2.753988243,-3233.219727,0.970407704,0.023712802,97.00069371,0.725,0.133171124,85.827,0.311708659,1161.69,-4.958401468870463
7D2T_seed-5137724_sample-2model,91.59426078,0.89,0.9,0.84,-2.571035702,-3097.462891,0.963308998,0.673280604,92.0131404,0.682,0.117352473,42.402,0.317395836,1245.92,-4.191622041932853
7D2T_seed-8990825_sample-1model,91.82155087,0.89,0.9,0.84,-2.549580967,-2956.269531,0.934132431,0.364386842,92.59701475,0.69,0.117636474,45.003,0.311842918,1224.48,-4.119930865462265
7D2T_seed-1626957_sample-3model,91.5568324,0.89,0.9,0.84,-2.535706223,-2962.762207,0.915371446,-0.555787876,92.09379552,0.69,0.118520121,49.507,0.318381637,1260.77,-4.097073112548786
6A6I_seed-896766_sample-1model,84.03505601,0.87,0.81,0.76,-2.316855484,-1588.565796,0.698319674,0.200972537,87.74366925,0.607,0.141335575,72.481,0.415231943,686.417,-4.218166677402076
7D2T_seed-9627247_sample-4model,91.88679947,0.89,0.9,0.85,-2.504554696,-3030.690918,0.921456201,0.1901606,92.29462229,0.68,0.122000424,45.638,0.307549298,1251.31,-4.03749520612438
6U08_seed-433747_sample-1model,95.23541837,0.93,0.92,0.93,-2.754491666,-3160.908936,0.975204616,-0.1918992,96.77486359,0.715,0.137446513,93.563,0.299196929,1150.55,-4.964451083332395
7D2T_seed-31329_sample-4model,91.93054659,0.89,0.9,0.84,-2.558809243,-3118.742188,0.964148114,0.176350166,91.90254803,0.688,0.121204202,43.43,0.342950135,1264.66,-4.117781956754705
7D2T_seed-5681811_sample-0model,91.89836681,0.89,0.9,0.84,-2.568585004,-3089.592041,0.967503592,0.631868338,92.26080874,0.685,0.117957014,46.984,0.319238901,1248.58,-4.132284471587429
6A6I_seed-9061760_sample-3model,83.07460792,0.85,0.79,0.75,-2.201702558,-1591.756958,0.685388933,0.257330892,86.99927066,0.619,0.139242032,75.162,0.43914789,712.084,-3.974169317947653
6U08_seed-216089_sample-1model,95.27059184,0.93,0.93,0.93,-2.749022697,-3157.150635,0.968977604,0.083893038,96.35478922,0.725,0.133305037,86.54,0.309906244,1171.9,-4.950964641600765
7D2T_seed-2889889_sample-0model,91.53829437,0.89,0.9,0.84,-2.524071769,-3035.518311,0.961262404,0.584864842,92.23617866,0.675,0.12339851,42.883,0.308729976,1237.88,-4.072723451785873
7D2T_seed-9163245_sample-1model,92.15875535,0.89,0.9,0.85,-2.568371416,-3089.056152,0.962033586,-0.25407796,92.62783124,0.692,0.120074039,44.151,0.325061262,1251.12,-4.157210057195286
7D2T_seed-3942073_sample-0model,91.71872572,0.89,0.9,0.84,-2.626383629,-3149.38623,0.950388191,0.020887422,91.90497654,0.7,0.120120603,41.434,0.376344383,1245.39,-4.255341074091131
6U08_seed-7884671_sample-0model,95.07511735,0.92,0.92,0.93,-2.745280977,-3304.571533,0.970376781,0.153229957,96.57091684,0.74,0.141565063,85.591,0.332205415,1175.59,-4.948003666055499
6A6I_seed-3472535_sample-0model,84.92853622,0.9,0.84,0.78,-2.385336449,-1615.903442,0.718499171,0.195289817,88.52995627,0.605,0.137110943,68.057,0.711604118,677.071,-4.452130425879795
6U08_seed-732152_sample-2model,95.06683163,0.93,0.92,0.93,-2.732743794,-3165.580566,0.958825934,0.214338683,96.47081206,0.725,0.134428319,82.435,0.294978857,1151.37,-4.922972225244118
6U08_seed-3048189_sample-3model,95.0462551,0.92,0.92,0.93,-2.770072411,-3315.291016,0.961735168,0.359290042,96.30124435,0.721,0.148203415,75.882,0.328753173,1169.67,-4.996019063419027
6U08_seed-5442239_sample-3model,94.8612602,0.92,0.92,0.93,-2.741909214,-3264.611816,0.96564449,0.404907686,96.40947374,0.741,0.143317705,84.704,0.343564719,1162.74,-4.93608956718843
6U08_seed-9539861_sample-0model,95.14154082,0.93,0.92,0.93,-2.721139309,-3175.559082,0.971662791,0.104016653,96.95270775,0.735,0.139008068,86.054,0.37019515,1154.64,-4.902905145731898
7D2T_seed-2706288_sample-1model,91.69473494,0.89,0.9,0.84,-2.531396832,-3046.175781,0.956422264,0.60936825,92.09958378,0.684,0.118615733,43.749,0.302177399,1263.26,-4.070908392623235
7D2T_seed-1753403_sample-0model,92.01713204,0.89,0.9,0.84,-2.536147709,-2945.7771,0.968840329,0.338120436,93.0648894,0.689,0.122952446,43.04,0.341357797,1227.47,-4.09906886868767
6U08_seed-3199569_sample-1model,95.27892347,0.93,0.93,0.93,-2.709220282,-3322.686035,0.967479222,0.047957652,96.67069311,0.712,0.141083462,74.16,0.293450534,1169.47,-4.8630880428079575
6U08_seed-6639928_sample-1model,95.08662245,0.92,0.92,0.93,-2.744443109,-3342.615479,0.96405262,0.126322983,96.56556117,0.733,0.142056682,84.566,0.327293873,1150.19,-4.933725723024461
6U08_seed-7123372_sample-1model,95.12703571,0.92,0.92,0.93,-2.733772494,-3070.273926,0.963334674,0.182721115,96.44318937,0.708,0.134352736,74.299,0.289426386,1149.97,-4.9388185293885085
6A6I_seed-2111856_sample-3model,85.19767737,0.88,0.83,0.78,-2.373140373,-1787.689819,0.65167897,0.228396422,89.96951065,0.598,0.14089295,78.833,0.424967229,734.509,-4.346136183549177
5ZNG_seed-4629991_sample-0model,85.03990392,0.9,0.82,0.76,-1.47825626,-1994.232056,0.746017399,-0.386910321,81.25740351,0.701,0.127510699,86.449,0.289848238,772.173,-2.5873879037546184
6U08_seed-3276017_sample-4model,94.77365816,0.92,0.92,0.93,-2.736257608,-3117.348633,0.97139969,0.282014648,95.87389294,0.713,0.139001802,82.632,0.285301656,1171.19,-4.920484934578703
7D2T_seed-6085369_sample-2model,91.89672374,0.89,0.9,0.84,-2.572044283,-3179.180176,0.894730946,-0.258842328,91.81864642,0.7,0.123006739,49.511,0.340239197,1267.41,-4.15736411982148
7D2T_seed-8549438_sample-3model,91.61169905,0.89,0.9,0.85,-2.523361045,-2963.980225,0.918871568,0.327067494,91.58677178,0.692,0.126176736,43.462,0.30834344,1243.51,-4.0681406043558415
7D2T_seed-7889442_sample-0model,91.47990122,0.89,0.9,0.84,-2.541414271,-2966.92334,0.962279626,0.51097319,91.38420531,0.681,0.126230078,45.446,0.333941251,1234.38,-4.0842241722278505
7D2T_seed-1240546_sample-3model,92.11722753,0.89,0.9,0.85,-2.580312738,-2997.203125,0.970209974,0.224754836,92.35198995,0.697,0.11852224,46.719,0.330784261,1229.0,-4.177786174567952
7D2T_seed-711962_sample-2model,91.75191307,0.89,0.9,0.84,-2.56573575,-3135.807617,0.953193042,-0.247461325,91.87112691,0.692,0.124049593,46.047,0.321641564,1244.71,-4.144974859665077
5ZNG_seed-8331081_sample-1model,84.98973579,0.89,0.81,0.76,-1.527585139,-2286.718018,0.727586702,-0.259560731,80.81968079,0.674,0.127013231,92.891,0.35487777,801.284,-2.660720132950653
6A6I_seed-204505_sample-4model,83.29843913,0.86,0.8,0.76,-2.272789405,-1729.580078,0.656975838,0.246274607,87.96376103,0.617,0.13939839,70.087,0.547514975,725.133,-4.10514691424161
6A6I_seed-3299573_sample-3model,85.69538462,0.88,0.82,0.79,-2.737001246,-1698.119263,0.759572442,0.4055197,87.29807645,0.603,0.135663782,67.088,0.473882556,693.239,-5.027212378010748
7D2T_seed-976083_sample-0model,91.82354626,0.89,0.9,0.84,-2.543885639,-3024.824463,0.925021394,0.399379002,91.92455849,0.688,0.120870326,48.933,0.307239443,1247.56,-4.1254541258852955
6U08_seed-2057293_sample-2model,95.32906122,0.93,0.93,0.94,-2.733498148,-3140.615479,0.971505534,0.272692514,96.92900202,0.728,0.147010029,80.774,0.358581305,1135.1,-4.929582683409915
6A6I_seed-279716_sample-0model,81.67738611,0.83,0.77,0.74,-2.238960204,-1406.466919,0.692162968,0.164454789,84.9052958,0.574,0.139643388,60.761,0.970473945,695.4,-4.096004724454936
6A6I_seed-4629991_sample-1model,84.61895444,0.8,0.79,0.76,-2.771281511,-1775.561523,0.784765888,-0.097823264,87.87360479,0.615,0.139855751,74.493,0.560130477,678.197,-5.056055169895374
6U08_seed-8614365_sample-4model,95.03416837,0.93,0.92,0.93,-2.738632672,-3271.72168,0.974401517,-0.285888507,96.76557619,0.728,0.137440265,82.883,0.333660334,1140.18,-4.93791581997634
7D2T_seed-181660_sample-3model,91.40776095,0.89,0.9,0.84,-2.534358445,-3017.972412,0.950150368,0.206494334,91.75610445,0.685,0.123151466,45.818,0.329431146,1233.31,-4.078443446420982
6U08_seed-5220729_sample-1model,95.02214796,0.92,0.92,0.93,-2.750803019,-3190.921875,0.968056306,0.168127328,96.576023,0.711,0.137540758,82.478,0.327745318,1163.36,-4.941653154563159
7D2T_seed-9163245_sample-4model,91.75483042,0.89,0.9,0.84,-2.550917615,-3021.779541,0.793709159,0.462871303,92.36462452,0.698,0.122212194,42.422,0.337786645,1262.18,-4.112798623345871
6A6I_seed-2333229_sample-3model,85.36944735,0.89,0.84,0.78,-2.361512614,-1680.630127,0.750787789,-0.104567485,88.63377804,0.639,0.138407537,73.216,0.429565132,674.875,-4.333883684106155
7D2T_seed-36904_sample-1model,91.98111623,0.89,0.91,0.85,-2.51736839,-3016.556641,0.895274485,0.431486378,91.81714297,0.694,0.123253047,43.734,0.332382947,1269.31,-4.054668618433986
7D2T_seed-5353575_sample-2model,91.37120514,0.89,0.9,0.84,-2.560424139,-3149.047852,0.909497931,0.102512549,91.92945669,0.682,0.118187618,44.29,0.331240952,1241.49,-4.132633832557174
7D2T_seed-6468151_sample-0model,91.84858742,0.89,0.9,0.85,-2.589331136,-2997.045166,0.898981836,0.009718984,91.70142518,0.689,0.115076891,43.08,0.330115706,1243.88,-4.190233152594553
6U08_seed-3472535_sample-2model,95.08771939,0.93,0.92,0.93,-2.754600545,-3286.378662,0.963274813,-0.442064972,96.59731482,0.734,0.139600889,78.911,0.304365873,1156.3,-4.9649763019662005
6U08_seed-9497952_sample-4model,95.23526531,0.93,0.93,0.93,-2.769510451,-3169.832275,0.975837896,0.428734436,96.85151989,0.742,0.136925356,91.07,0.389831215,1151.88,-4.988932691325539
7D2T_seed-4582569_sample-1model,91.72576885,0.89,0.9,0.84,-2.562190083,-3073.803467,0.931212772,0.160418825,91.60679581,0.692,0.120571457,45.744,0.319681585,1253.95,-4.113805652549252
6U08_seed-1753403_sample-0model,95.22214796,0.92,0.92,0.93,-2.743604071,-3251.78418,0.967066077,-0.065459611,96.6074505,0.727,0.139646945,83.976,0.320705533,1169.39,-4.9290475287190265
6U08_seed-1769132_sample-2model,95.15314796,0.92,0.92,0.93,-2.737743291,-3140.31665,0.957339789,0.054825078,96.57445717,0.718,0.137979433,85.825,0.339933515,1145.97,-4.914195718848458
5ZNG_seed-5306243_sample-1model,85.17229784,0.9,0.82,0.76,-1.535859911,-2125.508057,0.736182545,-0.573747702,79.54565376,0.703,0.125344997,90.981,0.267542452,828.839,-2.6844099042379717
6IF2_seed-2789072_sample-3model,85.14004049,0.82,0.82,0.86,-3.236592837,-2423.749512,0.758293788,-0.061172304,85.41100478,0.707,0.148533388,40.828,0.299634844,818.586,-6.073813558248608
7D2T_seed-9719344_sample-0model,91.68893645,0.89,0.9,0.84,-2.577079767,-3052.65918,0.955843071,-0.039967001,92.72188401,0.697,0.115662939,42.724,0.322465599,1253.34,-4.162478986877042
